Seq,B
2003001,11
2003002,12
2003003,16
2003004,3
2003005,16
2003006,6
2003007,7
2003008,8
2003009,9
2003010,13
2003011,15
2003012,12
2003013,12
2003014,2
2003015,13
2003016,6
2003017,6
2003018,2
2003019,9
2003020,4
2003021,1
2003022,8
2003023,2
2003024,14
2003025,12
2003026,16
2003027,15
2003028,7
2003029,10
2003030,7
2003031,1
2003032,13
2003033,10
2003034,14
2003035,8
2003036,15
2003037,7
2003038,16
2003039,3
2003040,16
2003041,11
2003042,7
2003043,13
2003044,15
2003045,3
2003046,11
2003047,16
2003048,9
2003049,15
2003050,13
2003051,1
2003052,11
2003053,13
2003054,12
2003055,16
2003056,7
2003057,16
2003058,2
2003059,4
2003060,11
2003061,2
2003062,14
2003063,11
2003064,1
2003065,11
2003066,14
2003067,10
2003068,11
2003069,11
2003070,8
2003071,11
2003072,11
2003073,13
2003074,1
2003075,11
2003076,2
2003077,6
2003078,11
2003079,4
2003080,10
2003081,7
2003082,14
2003083,1
2003084,3
2003085,14
2003086,13
2003087,13
2003088,12
2003089,16
2004001,11
2004002,10
2004003,14
2004004,11
2004005,1
2004006,11
2004007,14
2004008,2
2004009,11
2004010,4
2004011,2
2004012,16
2004013,7
2004014,16
2004015,12
2004016,13
2004017,11
2004018,1
2004019,13
2004020,15
2004021,9
2004022,16
2004023,11
2004024,3
2004025,15
2004026,13
2004027,7
2004028,11
2004029,16
2004030,3
2004031,16
2004032,7
2004033,15
2004034,8
2004035,14
2004036,10
2004037,13
2004038,1
2004039,7
2004040,10
2004041,7
2004042,15
2004043,16
2004044,12
2004045,14
2004046,2
2004047,8
2004048,1
2004049,4
2004050,9
2004051,2
2004052,6
2004053,6
2004054,13
2004055,2
2004056,12
2004057,12
2004058,15
2004059,13
2004060,9
2004061,8
2004062,7
2004063,6
2004064,16
2004065,3
2004066,16
2004067,12
2004068,11
2004069,5
2004070,6
2004071,6
2004072,14
2004073,16
2004074,13
2004075,7
2004076,7
2004077,7
2004078,5
2004079,3
2004080,16
2004081,6
2004082,15
2004083,6
2004084,14
2004085,1
2004086,1
2004087,14
2004088,14
2004089,14
2004090,12
2004091,1
2004092,2
2004093,5
2004094,8
2004095,1
2004096,15
2004097,14
2004098,3
2004099,2
2004100,15
2004101,15
2004102,1
2004103,2
2004104,5
2004105,12
2004106,12
2004107,7
2004108,12
2004109,14
2004110,11
2004111,2
2004112,6
2004113,7
2004114,1
2004115,1
2004116,3
2004117,7
2004118,15
2004119,6
2004120,10
2004121,10
2004122,15
2005001,14
2005002,14
2005003,16
2005004,2
2005005,15
2005006,16
2005007,15
2005008,11
2005009,14
2005010,1
2005011,15
2005012,5
2005013,6
2005014,5
2005015,15
2005016,15
2005017,3
2005018,6
2005019,8
2005020,5
2005021,16
2005022,4
2005023,12
2005024,13
2005025,7
2005026,7
2005027,15
2005028,10
2005029,14
2005030,5
2005031,7
2005032,3
2005033,7
2005034,9
2005035,14
2005036,15
2005037,16
2005038,16
2005039,9
2005040,13
2005041,3
2005042,15
2005043,5
2005044,9
2005045,10
2005046,5
2005047,15
2005048,2
2005049,12
2005050,13
2005051,2
2005052,1
2005053,9
2005054,14
2005055,9
2005056,9
2005057,13
2005058,10
2005059,7
2005060,13
2005061,1
2005062,7
2005063,4
2005064,8
2005065,16
2005066,5
2005067,16
2005068,13
2005069,12
2005070,4
2005071,10
2005072,11
2005073,1
2005074,9
2005075,14
2005076,13
2005077,16
2005078,11
2005079,5
2005080,16
2005081,3
2005082,12
2005083,13
2005084,3
2005085,12
2005086,12
2005087,8
2005088,7
2005089,12
2005090,3
2005091,13
2005092,10
2005093,14
2005094,3
2005095,5
2005096,4
2005097,15
2005098,1
2005099,9
2005100,3
2005101,12
2005102,12
2005103,7
2005104,9
2005105,3
2005106,13
2005107,11
2005108,6
2005109,4
2005110,9
2005111,9
2005112,16
2005113,3
2005114,6
2005115,2
2005116,10
2005117,3
2005118,16
2005119,2
2005120,14
2005121,12
2005122,9
2005123,7
2005124,11
2005125,3
2005126,9
2005127,12
2005128,15
2005129,3
2005130,16
2005131,3
2005132,15
2005133,11
2005134,1
2005135,11
2005136,13
2005137,12
2005138,13
2005139,10
2005140,7
2005141,15
2005142,5
2005143,8
2005144,9
2005145,15
2005146,2
2005147,10
2005148,13
2005149,7
2005150,2
2005151,5
2005152,3
2005153,1
2006001,3
2006002,9
2006003,12
2006004,7
2006005,11
2006006,14
2006007,7
2006008,16
2006009,6
2006010,8
2006011,11
2006012,10
2006013,11
2006014,7
2006015,3
2006016,16
2006017,2
2006018,5
2006019,7
2006020,6
2006021,9
2006022,13
2006023,8
2006024,6
2006025,5
2006026,3
2006027,15
2006028,4
2006029,8
2006030,14
2006031,14
2006032,9
2006033,6
2006034,13
2006035,13
2006036,9
2006037,14
2006038,10
2006039,3
2006040,3
2006041,4
2006042,11
2006043,3
2006044,5
2006045,4
2006046,8
2006047,3
2006048,12
2006049,3
2006050,7
2006051,16
2006052,3
2006053,2
2006054,4
2006055,11
2006056,8
2006057,8
2006058,14
2006059,11
2006060,14
2006061,11
2006062,1
2006063,8
2006064,11
2006065,13
2006066,5
2006067,13
2006068,10
2006069,8
2006070,2
2006071,1
2006072,8
2006073,12
2006074,4
2006075,11
2006076,14
2006077,9
2006078,12
2006079,8
2006080,9
2006081,4
2006082,9
2006083,10
2006084,12
2006085,8
2006086,6
2006087,5
2006088,1
2006089,1
2006090,11
2006091,7
2006092,14
2006093,5
2006094,13
2006095,16
2006096,14
2006097,12
2006098,16
2006099,5
2006100,3
2006101,16
2006102,11
2006103,6
2006104,11
2006105,1
2006106,10
2006107,7
2006108,9
2006109,13
2006110,13
2006111,15
2006112,11
2006113,2
2006114,16
2006115,15
2006116,9
2006117,9
2006118,5
2006119,2
2006120,9
2006121,6
2006122,3
2006123,6
2006124,13
2006125,6
2006126,9
2006127,1
2006128,5
2006129,12
2006130,2
2006131,1
2006132,1
2006133,3
2006134,12
2006135,4
2006136,5
2006137,9
2006138,8
2006139,5
2006140,5
2006141,11
2006142,16
2006143,8
2006144,6
2006145,7
2006146,5
2006147,1
2006148,1
2006149,15
2006150,12
2006151,8
2006152,15
2006153,10
2006154,13
2007001,14
2007002,1
2007003,15
2007004,10
2007005,12
2007006,11
2007007,14
2007008,10
2007009,15
2007010,5
2007011,16
2007012,4
2007013,5
2007014,9
2007015,15
2007016,5
2007017,14
2007018,11
2007019,14
2007020,14
2007021,13
2007022,10
2007023,2
2007024,6
2007025,3
2007026,10
2007027,11
2007028,11
2007029,10
2007030,4
2007031,1
2007032,16
2007033,9
2007034,16
2007035,6
2007036,10
2007037,16
2007038,5
2007039,1
2007040,10
2007041,12
2007042,8
2007043,5
2007044,8
2007045,10
2007046,14
2007047,6
2007048,12
2007049,2
2007050,2
2007051,13
2007052,7
2007053,11
2007054,5
2007055,2
2007056,12
2007057,9
2007058,7
2007059,14
2007060,5
2007061,5
2007062,9
2007063,12
2007064,16
2007065,7
2007066,8
2007067,11
2007068,1
2007069,12
2007070,12
2007071,9
2007072,16
2007073,2
2007074,3
2007075,3
2007076,2
2007077,2
2007078,1
2007079,14
2007080,4
2007081,13
2007082,15
2007083,5
2007084,10
2007085,12
2007086,16
2007087,9
2007088,6
2007089,3
2007090,2
2007091,7
2007092,9
2007093,2
2007094,2
2007095,7
2007096,8
2007097,11
2007098,12
2007099,5
2007100,6
2007101,14
2007102,11
2007103,1
2007104,4
2007105,14
2007106,8
2007107,10
2007108,2
2007109,4
2007110,3
2007111,11
2007112,11
2007113,10
2007114,5
2007115,2
2007116,13
2007117,1
2007118,15
2007119,12
2007120,1
2007121,6
2007122,9
2007123,2
2007124,16
2007125,1
2007126,9
2007127,11
2007128,5
2007129,8
2007130,4
2007131,5
2007132,5
2007133,10
2007134,15
2007135,16
2007136,14
2007137,3
2007138,16
2007139,6
2007140,11
2007141,8
2007142,8
2007143,4
2007144,16
2007145,11
2007146,9
2007147,4
2007148,7
2007149,3
2007150,5
2007151,2
2007152,8
2007153,15
2008001,3
2008002,9
2008003,12
2008004,8
2008005,15
2008006,14
2008007,11
2008008,7
2008009,16
2008010,9
2008011,3
2008012,13
2008013,10
2008014,14
2008015,3
2008016,13
2008017,2
2008018,13
2008019,5
2008020,3
2008021,15
2008022,5
2008023,2
2008024,13
2008025,14
2008026,3
2008027,13
2008028,10
2008029,12
2008030,11
2008031,13
2008032,13
2008033,4
2008034,9
2008035,16
2008036,16
2008037,6
2008038,13
2008039,1
2008040,9
2008041,4
2008042,1
2008043,14
2008044,9
2008045,4
2008046,15
2008047,10
2008048,1
2008049,4
2008050,3
2008051,11
2008052,10
2008053,4
2008054,7
2008055,4
2008056,7
2008057,8
2008058,11
2008059,16
2008060,3
2008061,6
2008062,15
2008063,15
2008064,12
2008065,5
2008066,8
2008067,13
2008068,7
2008069,10
2008070,13
2008071,9
2008072,9
2008073,8
2008074,9
2008075,3
2008076,11
2008077,9
2008078,1
2008079,9
2008080,14
2008081,4
2008082,9
2008083,9
2008084,16
2008085,15
2008086,12
2008087,6
2008088,5
2008089,11
2008090,1
2008091,10
2008092,5
2008093,7
2008094,14
2008095,3
2008096,14
2008097,13
2008098,1
2008099,7
2008100,14
2008101,4
2008102,5
2008103,4
2008104,1
2008105,2
2008106,15
2008107,4
2008108,12
2008109,10
2008110,2
2008111,6
2008112,6
2008113,9
2008114,14
2008115,6
2008116,14
2008117,7
2008118,1
2008119,7
2008120,2
2008121,6
2008122,15
2008123,2
2008124,3
2008125,9
2008126,13
2008127,13
2008128,5
2008129,15
2008130,6
2008131,8
2008132,8
2008133,11
2008134,2
2008135,15
2008136,2
2008137,9
2008138,4
2008139,7
2008140,14
2008141,15
2008142,15
2008143,6
2008144,15
2008145,2
2008146,10
2008147,2
2008148,9
2008149,2
2008150,2
2008151,6
2008152,8
2008153,16
2008154,8
2009001,4
2009002,14
2009003,2
2009004,3
2009005,13
2009006,2
2009007,15
2009008,2
2009009,2
2009010,2
2009011,15
2009012,1
2009013,9
2009014,2
2009015,5
2009016,3
2009017,8
2009018,15
2009019,4
2009020,13
2009021,9
2009022,8
2009023,8
2009024,12
2009025,11
2009026,16
2009027,6
2009028,10
2009029,13
2009030,7
2009031,1
2009032,6
2009033,6
2009034,7
2009035,5
2009036,7
2009037,3
2009038,5
2009039,3
2009040,12
2009041,8
2009042,11
2009043,7
2009044,1
2009045,1
2009046,9
2009047,16
2009048,1
2009049,6
2009050,4
2009051,7
2009052,8
2009053,4
2009054,11
2009055,11
2009056,8
2009057,11
2009058,9
2009059,11
2009060,4
2009061,3
2009062,10
2009063,16
2009064,15
2009065,2
2009066,4
2009067,5
2009068,5
2009069,2
2009070,10
2009071,6
2009072,4
2009073,14
2009074,13
2009075,5
2009076,6
2009077,16
2009078,13
2009079,13
2009080,6
2009081,3
2009082,2
2009083,4
2009084,13
2009085,3
2009086,11
2009087,6
2009088,2
2009089,4
2009090,14
2009091,4
2009092,8
2009093,1
2009094,14
2009094,15
2009095,3
2003001,11
2003002,12
2003003,16
2003004,3
2003005,16
2003006,6
2003007,7
2003008,8
2003009,9
2003010,13
2003011,15
2003012,12
2003013,12
2003014,2
2003015,13
2003016,6
2003017,6
2003018,2
2003019,9
2003020,4
2003021,1
2003022,8
2003023,2
2003024,14
2003025,12
2003026,16
2003027,15
2003028,7
2003029,10
2003030,7
2003031,1
2003032,13
2003033,10
2003034,14
2003035,8
2003036,15
2003037,7
2003038,16
2003039,3
2003040,16
2003041,11
2003042,7
2003043,13
2003044,15
2003045,3
2003046,11
2003047,16
2003048,9
2003049,15
2003050,13
2003051,1
2003052,11
2003053,13
2003054,12
2003055,16
2003056,7
2003057,16
2003058,2
2003059,4
2003060,11
2003061,2
2003062,14
2003063,11
2003064,1
2003065,11
2003066,14
2003067,10
2003068,11
2003069,11
2003070,8
2003071,11
2003072,11
2003073,13
2003074,1
2003075,11
2003076,2
2003077,6
2003078,11
2003079,4
2003080,10
2003081,7
2003082,14
2003083,1
2003084,3
2003085,14
2003086,13
2003087,13
2003088,12
2003089,16
2004001,11
2004002,10
2004003,14
2004004,11
2004005,1
2004006,11
2004007,14
2004008,2
2004009,11
2004010,4
2004011,2
2004012,16
2004013,7
2004014,16
2004015,12
2004016,13
2004017,11
2004018,1
2004019,13
2004020,15
2004021,9
2004022,16
2004023,11
2004024,3
2004025,15
2004026,13
2004027,7
2004028,11
2004029,16
2004030,3
2004031,16
2004032,7
2004033,15
2004034,8
2004035,14
2004036,10
2004037,13
2004038,1
2004039,7
2004040,10
2004041,7
2004042,15
2004043,16
2004044,12
2004045,14
2004046,2
2004047,8
2004048,1
2004049,4
2004050,9
2004051,2
2004052,6
2004053,6
2004054,13
2004055,2
2004056,12
2004057,12
2004058,15
2004059,13
2004060,9
2004061,8
2004062,7
2004063,6
2004064,16
2004065,3
2004066,16
2004067,12
2004068,11
2004069,5
2004070,6
2004071,6
2004072,14
2004073,16
2004074,13
2004075,7
2004076,7
2004077,7
2004078,5
2004079,3
2004080,16
2004081,6
2004082,15
2004083,6
2004084,14
2004085,1
2004086,1
2004087,14
2004088,14
2004089,14
2004090,12
2004091,1
2004092,2
2004093,5
2004094,8
2004095,1
2004096,15
2004097,14
2004098,3
2004099,2
2004100,15
2004101,15
2004102,1
2004103,2
2004104,5
2004105,12
2004106,12
2004107,7
2004108,12
2004109,14
2004110,11
2004111,2
2004112,6
2004113,7
2004114,1
2004115,1
2004116,3
2004117,7
2004118,15
2004119,6
2004120,10
2004121,10
2004122,15
2005001,14
2005002,14
2005003,16
2005004,2
2005005,15
2005006,16
2005007,15
2005008,11
2005009,14
2005010,1
2005011,15
2005012,5
2005013,6
2005014,5
2005015,15
2005016,15
2005017,3
2005018,6
2005019,8
2005020,5
2005021,16
2005022,4
2005023,12
2005024,13
2005025,7
2005026,7
2005027,15
2005028,10
2005029,14
2005030,5
2005031,7
2005032,3
2005033,7
2005034,9
2005035,14
2005036,15
2005037,16
2005038,16
2005039,9
2005040,13
2005041,3
2005042,15
2005043,5
2005044,9
2005045,10
2005046,5
2005047,15
2005048,2
2005049,12
2005050,13
2005051,2
2005052,1
2005053,9
2005054,14
2005055,9
2005056,9
2005057,13
2005058,10
2005059,7
2005060,13
2005061,1
2005062,7
2005063,4
2005064,8
2005065,16
2005066,5
2005067,16
2005068,13
2005069,12
2005070,4
2005071,10
2005072,11
2005073,1
2005074,9
2005075,14
2005076,13
2005077,16
2005078,11
2005079,5
2005080,16
2005081,3
2005082,12
2005083,13
2005084,3
2005085,12
2005086,12
2005087,8
2005088,7
2005089,12
2005090,3
2005091,13
2005092,10
2005093,14
2005094,3
2005095,5
2005096,4
2005097,15
2005098,1
2005099,9
2005100,3
2005101,12
2005102,12
2005103,7
2005104,9
2005105,3
2005106,13
2005107,11
2005108,6
2005109,4
2005110,9
2005111,9
2005112,16
2005113,3
2005114,6
2005115,2
2005116,10
2005117,3
2005118,16
2005119,2
2005120,14
2005121,12
2005122,9
2005123,7
2005124,11
2005125,3
2005126,9
2005127,12
2005128,15
2005129,3
2005130,16
2005131,3
2005132,15
2005133,11
2005134,1
2005135,11
2005136,13
2005137,12
2005138,13
2005139,10
2005140,7
2005141,15
2005142,5
2005143,8
2005144,9
2005145,15
2005146,2
2005147,10
2005148,13
2005149,7
2005150,2
2005151,5
2005152,3
2005153,1
2006001,3
2006002,9
2006003,12
2006004,7
2006005,11
2006006,14
2006007,7
2006008,16
2006009,6
2006010,8
2006011,11
2006012,10
2006013,11
2006014,7
2006015,3
2006016,16
2006017,2
2006018,5
